"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"1","transcript","report","cours","cours","addit","requir","inform","recommend","transcript","data","score","decis","status","jan","confirm","letter","fee","degre","busi","toefl"
"2","copi","offici","year","experi","review","degre","veri","email","upload","work","gre","offer","submit","hello","email","recommend","miss","experi","degre","score"
"3","offici","score","system","take","transcript","intern","appreci","letter","sent","busi","report","befor","check","wonder","status","one","status","year","year","take"
"4","send","gre","studi","offer","upload","doe","interest","ask","copi","manag","offici","possibl","feb","day","receiv","submit","applic","work","work","realli"
"5","mail","mail","will","complet","let","will","help","abl","offici","like","send","admiss","receiv","feb","applic","upload","still","current","manag","will"
"6","institut","copi","appli","intern","decis","admiss","provid","one","mail","current","toefl","realli","hear","find","check","feb","check","interest","also","veri"
"7","need","toefl","requir","data","forward","websit","find","submit","colleg","experi","feb","email","still","sir","complet","request","onlin","sinc","experi","get"
"8","offic","send","current","studi","pleas","applic","ani","just","onlin","interest","gmat","respons","applic","thank","fee","deadlin","feb","undergradu","offer","kind"
"9","howev","transcript","know","current","sinc","report","look","inform","see","cours","sirmadam","hear","day","hear","pleas","email","jan","want","colleg","much"
"10","also","onlin","like","two","look","offic","much","get","hello","also","sent","get","review","repli","name","ask","howev","whether","gmat","hear"
